kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50591;1;1;2;1.0;6;830;10;0;0;0;0;350;40;0;10;0;0;0;1.0;1.0;1.0;1.0;2.0
50594;1;1;2;1.0;7;0;80;10;0;0;80;680;70;0;90;0;180;0;2.0;1.0;2.0;1.0;2.0
50602;1;2;1;1.0;9;0;0;70;0;0;50;410;110;0;150;40;100;0;2.0;2.0;2.0;2.0;2.0
50604;1;1;1;3.0;6;500;0;0;0;0;30;390;90;0;40;0;70;0;2.0;2.0;1.0;1.0;2.0
50613;2;1;2;2.0;4;420;0;0;40;0;?;510;20;0;10;0;20;60;2.0;1.0;1.0;1.0;1.0
50623;1;2;1;2.0;7;440;60;0;0;0;0;500;80;0;50;10;0;0;2.0;2.0;2.0;1.0;2.0
50626;1;1;2;3.0;4;0;80;20;160;110;0;520;70;0;0;0;100;0;1.0;2.0;2.0;1.0;2.0
50638;1;1;1;1.0;6;260;0;0;0;0;140;250;50;0;220;0;70;0;2.0;1.0;1.0;1.0;1.0
50642;2;2;1;3.0;8;0;0;0;0;0;0;620;40;0;0;90;130;0;2.0;1.0;?;2.0;2.0
50644;2;1;2;1.0;8;0;70;20;0;0;0;440;70;0;400;20;0;80;1.0;1.0;2.0;1.0;2.0
50647;2;2;1;3.0;6;0;60;0;30;0;120;340;60;0;30;0;0;0;1.0;2.0;1.0;1.0;1.0
50648;1;2;1;3.0;4;0;0;0;0;0;30;480;50;0;0;0;90;0;1.0;2.0;1.0;1.0;2.0
50659;2;1;2;3.0;5;440;?;10;50;10;60;420;60;0;20;0;0;20;1.0;2.0;1.0;1.0;1.0
50660;1;2;1;1.0;7;620;10;0;0;0;0;490;40;0;0;0;90;10;2.0;2.0;1.0;2.0;1.0
50662;1;2;2;1.0;6;0;10;0;0;0;0;600;90;0;20;0;50;50;1.0;1.0;1.0;2.0;1.0
50666;2;1;1;1.0;9;0;0;0;0;0;0;600;80;0;40;30;90;0;180.0;60.0;120.0;0.0;120.0
50667;2;2;2;1.0;6;0;10;0;0;0;70;370;90;0;0;0;0;0;1.0;1.0;1.0;1.0;2.0
50668;2;1;1;3.0;6;430;30;0;0;0;0;450;60;0;30;0;20;0;2.0;1.0;2.0;1.0;2.0
50672;1;2;1;2.0;7;0;0;0;0;0;110;540;150;0;60;0;290;0;1.0;1.0;1.0;1.0;1.0
50678;2;1;2;1.0;8;00:00;00:00;00:00;00:00;00:00;01:00;08:30;00:40;00:00;03:00;00:00;00:00;00:00;1.0;1.0;1.0;1.0;1.0
50679;1;1;2;3.0;4;50;0;0;150;40;0;510;40;0;30;0;190;10;2.0;2.0;2.0;1.0;2.0
50687;1;2;2;3.0;6;0;50;30;0;0;10;560;70;0;0;0;0;20;2.0;2.0;1.0;2.0;2.0
50697;1;2;2;1.0;6;500;40;0;0;0;30;280;30;0;40;30;?;30;2.0;2.0;2.0;1.0;1.0
50699;1;2;2;3.0;8;0;40;20;0;0;0;470;70;0;50;80;310;20;2.0;1.0;1.0;1.0;2.0
50707;2;2;2;1.0;3;0;0;0;0;0;0;430;40;390;0;0;100;0;1.0;2.0;2.0;1.0;2.0
50737;1;1;1;1.0;8;0;0;0;0;0;20;540;50;0;130;0;150;30;120.0;0.0;180.0;0.0;0.0
